SqFt,Bedrooms,BHK,Bathrooms,HouseAgeYears,DistanceToCityKm,SchoolRating,CrimeIndex,Latitude,Longitude,SellerName,ContactNumber,Address,PriceUSD
1621.0,1,1,1.0,32,7.2,5,42.1,21.08765,79.05743,Sneha Mehta,+91 908158 9675,"92, Civil Lines, Laxmi Nagar",317341.0
2772.0,1,1,2.0,47,1.8,10,43.4,21.1569,79.10025,Rahul Gupta,+91 979441 9976,"697, Park Avenue, Wardha Road",410923.0
1237.0,5,5,2.5,2,5.7,3,75.8,21.15243,79.03355,Ishaan Iyer,+91 829062 4013,"772, Park Avenue, Ramdaspeth",201903.0
2429.0,5,5,2.5,79,3.9,6,83.3,21.16859,79.05986,Rohan Gupta,+91 938509 6895,"785, Civil Lines, Ramdaspeth",340851.0
706.0,2,2,2.5,8,8.5,2,80.8,21.13017,79.16872,Pooja Patel,+91 714609 3698,"746, Civil Lines, Wardha Road",165926.0
1582.0,1,1,3.0,78,0.6,7,51.1,21.14163,79.08405,Aarav Reddy,+91 672558 0019,"693, Civil Lines, Civil Lines",207018.0
1906.0,1,1,2.5,2,8.7,1,37.1,21.18727,79.16004,Kabir Rao,+91 856006 7404,"442, Sunrise Boulevard, Laxmi Nagar",257649.0
2181.0,5,5,3.5,41,0.5,5,94.6,21.14151,79.08673,Suman Deshmukh,+91 662372 0604,"62, Ring Road, Laxmi Nagar",368392.0
2262.0,4,4,2.0,33,3.1,1,63.4,21.17199,79.09848,Meera Reddy,+91 850689 2365,"823, Church Street, Ramdaspeth",318916.0
2316.0,4,4,2.5,45,9.7,4,54.4,21.2306,79.06719,Aarav Patel,+91 963009 4462,"924, Market Street, Hingna Road",331208.0
1573.0,2,2,2.5,34,1.8,5,59.8,21.15688,79.07579,Anjali Verma,+91 634061 0637,"500, Hill Top Road, Pratap Nagar",277992.0
1499.0,4,4,3.0,71,15.1,4,63.0,21.01162,79.11212,Ananya Patel,+91 850603 6432,"428, Green Valley Road, Trimurti Nagar",195293.0
2358.0,1,1,3.5,1,23.5,4,71.3,21.07306,79.30096,Amit Nair,+91 942969 3923,"916, Green Valley Road, Sadar",275523.0
1676.0,4,4,1.5,78,2.8,2,55.3,21.13443,79.11187,Sneha Nair,+91 825605 9466,"453, Sunrise Boulevard, Sadar",203033.0
971.0,3,3,3.0,55,8.8,8,87.5,21.21514,79.12866,Ananya Iyer,+91 896408 3924,"370, Church Street, Hingna Road",185130.0
1063.0,2,2,3.5,62,0.5,8,86.0,21.14758,79.09299,Ananya Reddy,+91 981273 9585,"885, Station Road, Sadar",195030.0
1202.0,4,4,3.0,11,19.3,5,44.2,20.99301,79.17631,Meera Nair,+91 908437 2465,"926, MG Road, Pratap Nagar",193826.0
2123.0,4,4,1.0,5,2.0,1,16.9,21.16326,79.08362,Diya Mehta,+91 670966 8401,"205, Sunrise Boulevard, Manish Nagar",306318.0
1893.0,3,3,3.0,31,23.4,1,57.7,21.04097,78.89209,Rohan Sharma,+91 999066 1742,"275, Green Valley Road, Pratap Nagar",239041.0
2249.0,1,1,1.0,25,5.4,7,62.1,21.13923,79.14037,Amit Chauhan,+91 959267 6672,"313, College Road, Sadar",349235.0
1522.0,1,1,1.5,62,1.7,10,52.3,21.15978,79.09453,Rahul Reddy,+91 619392 2049,"160, Church Street, Ramdaspeth",221428.0
1903.0,5,5,3.5,71,2.1,9,89.1,21.1595,79.07354,Riya Patel,+91 883469 6237,"854, Ring Road, Sadar",292761.0
2207.0,2,2,1.5,34,21.6,5,9.3,21.00222,79.22845,Amit Patel,+91 905735 7505,"972, MG Road, Manish Nagar",273470.0
1599.0,2,2,3.0,61,5.4,5,28.7,21.10636,79.05747,Kavya Joshi,+91 927291 8063,"519, Market Street, Dharampeth",238886.0
2097.0,4,4,2.5,4,14.4,2,86.6,21.09616,79.21681,Ritu Rao,+91 912013 1984,"710, Ring Road, Sitabuldi",307840.0
1370.0,2,2,1.0,59,7.5,1,93.9,21.0961,79.03924,Anjali Verma,+91 909710 6064,"420, Park Avenue, Sitabuldi",217884.0
1564.0,2,2,1.0,7,12.0,8,42.6,21.24816,79.0498,Suman Rao,+91 683459 7634,"994, Civil Lines, Wardha Road",261052.0
1552.0,4,4,3.0,53,2.1,5,19.3,21.12831,79.09497,Aditya Gupta,+91 713801 5795,"953, College Road, Dharampeth",270424.0
1023.0,3,3,3.0,30,5.6,5,42.0,21.09567,79.09133,Aditya Chauhan,+91 662431 3257,"748, Park Avenue, Sitabuldi",219054.0
2117.0,4,4,2.5,33,6.6,4,45.6,21.12155,79.14687,Neha Reddy,+91 698399 5271,"887, Green Valley Road, Hingna Road",341964.0
1495.0,1,1,3.5,22,4.9,4,52.0,21.15232,79.04184,Rahul Bose,+91 735898 4078,"135, Station Road, Ramdaspeth",224023.0
1808.0,3,3,1.0,32,5.1,10,27.4,21.14498,79.03884,Kabir Joshi,+91 945818 5616,"886, Park Avenue, Trimurti Nagar",364723.0
2112.0,3,3,2.0,69,20.8,9,31.3,21.31308,78.99848,Aditya Bose,+91 825596 5436,"426, Church Street, Gandhibagh",296576.0
2090.0,4,4,1.5,64,18.4,7,65.6,21.31027,79.06732,Aarav Joshi,+91 985635 5633,"212, Civil Lines, Wardha Road",291203.0
2233.0,1,1,2.0,27,7.3,4,62.2,21.14436,79.15898,Meera Verma,+91 834215 8068,"930, Market Street, Gandhibagh",321228.0
1736.0,1,1,1.0,23,0.7,8,66.2,21.14484,79.09534,Suman Mehta,+91 788319 6383,"843, Park Avenue, Laxmi Nagar",280948.0
1525.0,4,4,2.5,40,1.8,4,37.7,21.14277,79.07097,Neha Rao,+91 779761 9466,"135, Civil Lines, Wardha Road",299645.0
1748.0,4,4,2.0,54,7.5,6,33.6,21.12693,79.158,Amit Agarwal,+91 926338 7407,"656, College Road, Manish Nagar",263716.0
703.0,5,5,2.5,14,0.9,2,35.2,21.1519,79.08305,Vivaan Iyer,+91 771737 8790,"881, Sunrise Boulevard, Sitabuldi",197118.0
859.0,2,2,2.5,58,2.0,8,95.1,21.13101,79.09972,Kabir Patel,+91 730130 3118,"691, Sunrise Boulevard, Gandhibagh",158297.0
940.0,5,5,2.0,75,5.0,1,39.5,21.11221,79.0564,Rahul Verma,+91 974524 7574,"482, College Road, Pratap Nagar",183611.0
1152.0,2,2,2.0,67,5.0,8,60.6,21.10174,79.07828,Diya Deshmukh,+91 738924 7278,"48, Civil Lines, Civil Lines",183130.0
2060.0,4,4,1.0,43,5.1,7,52.3,21.10088,79.07845,Aarav Gupta,+91 921998 6091,"495, MG Road, Trimurti Nagar",308965.0
1211.0,1,1,1.0,25,0.5,1,87.6,21.14241,79.08502,Kabir Kulkarni,+91 917388 8858,"555, Lake View Lane, Sitabuldi",188107.0
1554.0,5,5,2.5,25,1.4,6,36.9,21.13594,79.09612,Sanjay Patel,+91 692468 3237,"842, Ring Road, Laxmi Nagar",299572.0
2644.0,2,2,3.0,59,15.2,3,43.4,21.23202,78.97353,Rahul Verma,+91 852765 6218,"219, Market Street, Sitabuldi",322189.0
1568.0,5,5,3.0,36,4.1,5,84.3,21.11609,79.11109,Sanjay Kulkarni,+91 669934 8081,"207, Lake View Lane, Sadar",297544.0
2279.0,2,2,2.5,8,29.9,1,16.1,21.39196,79.20555,Ananya Iyer,+91 924739 7770,"926, College Road, Laxmi Nagar",313881.0
1193.0,4,4,3.0,54,1.1,8,59.4,21.15541,79.09155,Ritu Joshi,+91 686171 6503,"837, Civil Lines, Trimurti Nagar",227504.0
1666.0,3,3,3.0,11,9.5,6,40.0,21.06211,79.06953,Ritu Sharma,+91 919894 3934,"561, Hill Top Road, Gandhibagh",270694.0
1182.0,1,1,2.5,78,3.4,4,98.6,21.1151,79.08823,Ananya Patel,+91 918108 8881,"445, Park Avenue, Gandhibagh",162365.0
1580.0,1,1,1.0,33,3.6,9,72.1,21.12714,79.11659,Rohan Verma,+91 837379 9775,"617, Ring Road, Manish Nagar",262347.0
2346.0,4,4,2.0,27,18.6,7,1.1,21.31103,79.0605,Suman Reddy,+91 604992 7346,"152, Station Road, Manish Nagar",319908.0
677.0,1,1,2.0,4,37.0,7,83.9,21.26095,79.42404,Ananya Reddy,+91 746028 6893,"243, Station Road, Gandhibagh",94101.0
2082.0,2,2,1.5,13,18.2,2,70.3,21.13812,78.91282,Neha Iyer,+91 723523 1394,"541, College Road, Ramdaspeth",286371.0
1955.0,3,3,3.0,75,24.0,6,56.1,20.99297,79.25276,Ritu Gupta,+91 974461 3117,"421, Ring Road, Civil Lines",194323.0
1414.0,2,2,3.5,42,9.6,8,23.6,21.13045,79.179,Arjun Nair,+91 912531 9955,"178, College Road, Wardha Road",251101.0
860.0,1,1,1.0,72,19.1,10,14.9,21.01179,79.2038,Anjali Chauhan,+91 889103 3858,"529, College Road, Trimurti Nagar",153983.0
1847.0,4,4,2.5,76,0.7,7,62.8,21.14621,79.08122,Ishaan Verma,+91 667957 2259,"652, Civil Lines, Pratap Nagar",303351.0
1456.0,4,4,1.5,3,6.1,2,44.0,21.10415,79.12677,Sai Chauhan,+91 805285 0062,"811, Church Street, Sadar",266867.0
1951.0,4,4,1.0,30,5.7,7,86.2,21.19574,79.10053,Diya Nair,+91 901137 8597,"629, Park Avenue, Manish Nagar",290063.0
1814.0,5,5,1.0,67,2.4,1,26.2,21.13562,79.1084,Neha Joshi,+91 817298 0147,"611, Lake View Lane, Wardha Road",245245.0
2841.0,1,1,2.0,39,2.6,4,63.8,21.13613,79.06497,Kabir Kulkarni,+91 950669 2077,"556, Civil Lines, Laxmi Nagar",337392.0
1644.0,3,3,1.0,40,6.3,10,24.9,21.18221,79.04139,Anjali Deshmukh,+91 656114 8569,"113, Lake View Lane, Civil Lines",309568.0
1135.0,2,2,1.0,45,0.5,9,63.6,21.14359,79.08399,Sneha Bose,+91 834614 5324,"384, College Road, Trimurti Nagar",220573.0
1917.0,5,5,2.5,56,7.7,10,4.8,21.07828,79.10391,Rahul Bose,+91 684861 9556,"450, Ring Road, Trimurti Nagar",365699.0
1943.0,3,3,2.0,75,0.6,4,39.2,21.15153,79.08858,Amit Verma,+91 802763 4644,"523, Church Street, Laxmi Nagar",266675.0
2683.0,1,1,1.5,70,2.0,7,17.3,21.15631,79.10333,Sneha Nair,+91 852567 6467,"295, Civil Lines, Manish Nagar",396052.0
2343.0,4,4,2.0,50,6.4,8,60.6,21.08871,79.08168,Sneha Joshi,+91 734664 2955,"743, Park Avenue, Civil Lines",315893.0
2032.0,1,1,1.0,46,2.2,3,31.7,21.14009,79.1081,Sneha Rao,+91 947390 0580,"538, Sunrise Boulevard, Wardha Road",261633.0
2751.0,2,2,3.0,28,34.5,10,77.2,20.91017,78.87098,Amit Bose,+91 963036 6890,"305, Green Valley Road, Gandhibagh",359195.0
1027.0,4,4,2.0,9,6.5,10,11.5,21.19138,79.12731,Ritu Mehta,+91 780979 0092,"469, Market Street, Sadar",258683.0
1384.0,3,3,3.5,56,7.5,2,55.6,21.09271,79.04311,Rohan Nair,+91 732101 8082,"709, College Road, Hingna Road",251075.0
1198.0,4,4,1.0,0,0.5,8,59.4,21.14881,79.09179,Kavya Chauhan,+91 662807 9441,"23, MG Road, Wardha Road",240047.0
1547.0,3,3,3.0,55,22.0,5,2.2,21.33254,79.0182,Rohan Kulkarni,+91 689467 3018,"341, College Road, Pratap Nagar",210652.0
905.0,5,5,2.5,39,5.1,7,3.6,21.15492,79.13678,Rohan Deshmukh,+91 770885 4983,"208, MG Road, Sitabuldi",192196.0
2213.0,3,3,1.5,62,1.9,6,30.8,21.14714,79.06987,Ritu Mehta,+91 749966 7292,"321, Sunrise Boulevard, Gandhibagh",313132.0
1656.0,1,1,3.0,75,3.0,3,60.9,21.16992,79.07576,Neha Sharma,+91 988288 4550,"659, Ring Road, Sadar",279527.0
844.0,1,1,1.5,44,14.4,1,96.3,21.22031,79.20184,Rahul Bose,+91 956545 5942,"214, Ring Road, Wardha Road",110122.0
1140.0,4,4,1.0,45,26.4,6,9.1,21.36763,78.99571,Amit Kulkarni,+91 608147 1266,"544, Sunrise Boulevard, Wardha Road",206366.0
2004.0,1,1,3.0,38,6.1,9,70.3,21.10174,79.05276,Aarav Patel,+91 625724 2938,"377, Church Street, Sitabuldi",296363.0
2345.0,2,2,1.0,29,2.0,9,69.3,21.16289,79.08361,Neha Gupta,+91 881903 1056,"54, College Road, Sadar",351568.0
3098.0,1,1,2.5,7,1.2,3,66.9,21.15454,79.09566,Rohan Iyer,+91 754745 4268,"884, MG Road, Laxmi Nagar",446563.0
3694.0,2,2,1.0,2,0.5,9,51.6,21.14455,79.08356,Sai Gupta,+91 834824 2349,"597, Lake View Lane, Manish Nagar",523171.0
2069.0,3,3,1.5,57,4.2,4,96.7,21.10831,79.08902,Rohan Mehta,+91 703805 1576,"297, Ring Road, Laxmi Nagar",272210.0
1157.0,1,1,1.0,73,23.5,6,50.2,20.96011,79.19789,Sneha Joshi,+91 757560 0153,"503, Church Street, Sitabuldi",116527.0
414.0,3,3,1.5,4,10.1,4,83.8,21.16169,78.992,Ishaan Gupta,+91 734934 5779,"986, College Road, Trimurti Nagar",89967.0
1974.0,5,5,2.0,26,2.1,6,26.3,21.12783,79.08339,Priya Kulkarni,+91 869655 4236,"150, College Road, Wardha Road",341218.0
1272.0,1,1,2.0,48,7.3,6,80.6,21.08848,79.12368,Sai Reddy,+91 661875 4554,"850, Station Road, Ramdaspeth",163604.0
1530.0,1,1,1.5,56,4.3,7,99.7,21.1114,79.06879,Suman Patel,+91 981330 0873,"2, Green Valley Road, Manish Nagar",218605.0
1402.0,2,2,2.0,58,5.4,5,91.0,21.13745,79.03647,Vikram Bose,+91 724720 4551,"863, Ring Road, Sitabuldi",205235.0
1708.0,5,5,1.5,55,8.6,6,30.4,21.17444,79.16585,Ananya Reddy,+91 686795 5778,"335, Ring Road, Sadar",272834.0
2493.0,3,3,2.5,6,1.5,7,84.6,21.1589,79.08459,Sai Gupta,+91 870354 0230,"296, Ring Road, Hingna Road",363642.0
1902.0,4,4,3.5,20,11.6,5,9.5,21.24061,79.04051,Amit Kulkarni,+91 673788 9420,"779, Lake View Lane, Sitabuldi",322116.0
1697.0,1,1,3.0,37,28.5,6,67.8,21.30323,78.87056,Sneha Deshmukh,+91 861222 3359,"164, Hill Top Road, Wardha Road",200459.0
1127.0,4,4,3.5,5,0.5,1,34.2,21.14443,79.0928,Meera Patel,+91 666111 8197,"133, Park Avenue, Wardha Road",228509.0
711.0,1,1,1.5,27,9.5,9,65.9,21.22869,79.11169,Vivaan Sharma,+91 783118 4423,"466, Church Street, Laxmi Nagar",166645.0
1484.0,4,4,1.0,30,8.0,2,41.2,21.1271,79.01317,Vivaan Agarwal,+91 837843 4102,"943, Park Avenue, Gandhibagh",199844.0
1765.0,1,1,3.5,78,0.8,9,0.9,21.14542,79.09556,Sneha Rao,+91 700291 6146,"331, Station Road, Civil Lines",344953.0
2949.0,5,5,1.5,25,6.9,8,23.1,21.10364,79.03932,Neha Nair,+91 957274 4398,"542, Hill Top Road, Dharampeth",454084.0
1885.0,2,2,3.5,77,3.1,10,4.2,21.17263,79.0958,Sanjay Nair,+91 747923 7205,"398, Green Valley Road, Laxmi Nagar",322930.0
2439.0,1,1,2.5,56,14.1,1,42.7,21.11429,79.22043,Aarav Joshi,+91 825142 5229,"757, Hill Top Road, Sadar",282948.0
1475.0,2,2,1.5,55,12.1,3,84.0,21.23923,79.02785,Rohan Kulkarni,+91 693631 0804,"898, Green Valley Road, Hingna Road",215414.0
1030.0,1,1,3.5,65,30.2,1,73.8,21.2263,79.36646,Vikram Verma,+91 927153 5111,"975, Ring Road, Pratap Nagar",91314.0
1173.0,1,1,2.0,67,6.7,5,78.9,21.17114,79.02915,Suman Gupta,+91 856997 0777,"269, College Road, Gandhibagh",150144.0
1329.0,3,3,3.5,17,0.5,10,80.7,21.1503,79.08848,Amit Bose,+91 866566 0519,"263, Civil Lines, Ramdaspeth",247393.0
3184.0,2,2,2.0,33,0.5,8,37.2,21.14171,79.09023,Aarav Patel,+91 791846 6196,"923, MG Road, Ramdaspeth",458890.0
1266.0,2,2,1.0,42,0.8,8,50.6,21.15246,79.08956,Vivaan Chauhan,+91 746966 8618,"582, Park Avenue, Sitabuldi",230326.0
2345.0,5,5,3.5,78,3.7,9,50.8,21.11527,79.10357,Anjali Nair,+91 787150 7901,"328, Hill Top Road, Civil Lines",373687.0
1213.0,1,1,1.0,3,15.5,1,11.3,21.17719,79.23372,Neha Patel,+91 797826 8022,"340, MG Road, Civil Lines",179780.0
2406.0,2,2,2.5,38,4.2,8,59.8,21.12942,79.12502,Neha Joshi,+91 652320 6685,"177, Lake View Lane, Civil Lines",340341.0
2050.0,1,1,2.0,17,0.5,4,72.0,21.14698,79.09286,Suman Mehta,+91 863349 4836,"85, Park Avenue, Laxmi Nagar",280191.0
1698.0,3,3,3.0,16,15.9,7,61.1,21.0917,79.23088,Kabir Iyer,+91 823864 4718,"346, Sunrise Boulevard, Manish Nagar",257675.0
1774.0,2,2,3.0,60,17.1,8,74.6,21.21475,79.23628,Arjun Deshmukh,+91 863693 3938,"792, Park Avenue, Wardha Road",257377.0
1374.0,1,1,2.5,16,0.7,7,11.9,21.14134,79.09283,Rahul Sharma,+91 885002 0764,"659, Lake View Lane, Trimurti Nagar",272582.0
2090.0,1,1,3.0,63,6.3,5,76.1,21.09608,79.11809,Anjali Verma,+91 881530 4102,"13, Market Street, Sadar",299682.0
1504.0,5,5,1.5,79,3.6,7,20.8,21.12756,79.05919,Ananya Mehta,+91 916746 1754,"45, Park Avenue, Laxmi Nagar",257670.0
1003.0,1,1,1.0,62,7.8,5,87.7,21.16153,79.16151,Ishaan Joshi,+91 883491 5579,"868, Lake View Lane, Ramdaspeth",140784.0
969.0,4,4,3.0,13,21.9,7,24.5,21.00961,78.93492,Vivaan Kulkarni,+91 831317 5739,"792, Sunrise Boulevard, Wardha Road",189088.0
1912.0,5,5,2.0,11,2.5,5,49.2,21.13041,79.07014,Aarav Agarwal,+91 789711 9886,"793, Park Avenue, Sitabuldi",283126.0
2826.0,3,3,2.0,34,19.7,4,48.7,21.08347,78.91033,Ananya Chauhan,+91 684128 6987,"861, Lake View Lane, Sitabuldi",368308.0
1904.0,2,2,1.5,44,6.9,3,26.9,21.09997,79.04294,Kavya Rao,+91 701309 2360,"638, Sunrise Boulevard, Civil Lines",263737.0
1723.0,4,4,1.0,62,7.3,4,36.2,21.13273,79.15717,Neha Rao,+91 861963 7310,"337, MG Road, Wardha Road",229995.0
1986.0,5,5,3.5,33,6.8,8,18.6,21.14408,79.1534,Kabir Chauhan,+91 827526 3164,"590, Ring Road, Laxmi Nagar",335958.0
2649.0,1,1,3.0,13,7.5,9,57.0,21.13714,79.01651,Rahul Bose,+91 865101 2297,"641, Church Street, Dharampeth",397821.0
1943.0,5,5,3.5,79,2.4,2,91.3,21.15775,79.10789,Anjali Sharma,+91 884348 3619,"844, Lake View Lane, Manish Nagar",248947.0
1533.0,5,5,2.5,72,3.9,2,31.7,21.1719,79.11319,Kabir Rao,+91 669262 4314,"531, Ring Road, Ramdaspeth",226106.0
